[2026-07-07T08:39:32.946Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/contact.html → 200 (8ms, 17096B)
[2026-07-07T08:39:32.964Z] GET https://fonts.googleapis.com/css2?family=Plus+Jakarta+Sans:wght@500;600;700;800&family=Inter:wght@400;500;600&display=swap → 200 (152ms, 1368B)
[2026-07-07T08:39:32.964Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/css/fa-subset.css → 200 (13ms, 2831B)
[2026-07-07T08:39:32.964Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/css/plugins/aos.css → 200 (13ms, 25964B)
[2026-07-07T08:39:32.964Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/css/vardhaman.css → 200 (14ms, 45631B)
[2026-07-07T08:39:32.964Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/img/vardhaman/logo/vardhaman-logo.png → 200 (16ms, 113670B)
[2026-07-07T08:39:32.964Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/js/plugins/aos.js → 200 (17ms, 14143B)
[2026-07-07T08:39:32.964Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/js/vardhaman.js → 200 (17ms, 4537B)
[2026-07-07T08:39:33.157Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (71ms, 48983B)
[2026-07-07T08:39:33.158Z] GET https://fonts.gstatic.com/s/plusjakartasans/v12/LDIoaomQNQcsA88c7O9yZ4KMCoOg4Ko20yygg_vb.woff2 → 200 (76ms, 27401B)
[2026-07-07T08:39:33.158Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/css/fonts/fa-brands-400.woff2 → 200 (1ms, 575B)
[2026-07-07T08:39:33.158Z] GET file:///Users/ameenkhan/Desktop/Doctorpreneur_Clients/Dr_Usha_Temp/assets/css/fonts/fa-solid-900.woff2 → 200 (3ms, 154123B)
